,Word,Mouth,Body,Head,Shoulder,Eyegaze,Eyebrow,Eyelids,Hand
21,110,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
22,200,,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
23,900,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamfingerhookmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
24,1000,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampinky,hamfingerstraightmod,hamextfingero,hammovedr,hamsmallmod,hamarcd,hamsmallmod,hamparend"
25,1001,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampinky,hamfingerstraightmod,hamextfingero,hammovedr,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hamextfingeru,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
26,1000000,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamflathand,hamthumbacrossmod,hamindexfinger,hamdoublebent,hamextfingeru,hampalmd,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
27,1100000,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamflathand,hamthumbacrossmod,hamindexfinger,hamdoublebent,hamextfingeru,hampalmd,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampinky,hamfingerstraightmod,hamextfingero,hammovedr,hamsmallmod,hamarcd,hamsmallmod,hamparend"
28,ʾ,ʾ,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hampinky,hampinky,hamfingerhookmod,hamextfingeru,hampalmdl"
29,˅,˅,,,,AD,RB,BB,"hamfinger23spread,hamfingerhookmod,hamextfingeru,hampalmd,hamshoulders,hamlrat"
30,.,.,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hampinky,hamextfingero,hampalml,hammoveo"
